净值日期,单位净值,日增长率
2015-11-30,1.03,0.0
2015-12-01,1.03,0.0
2015-12-02,1.03,0.0
2015-12-03,1.031,0.0971
2015-12-04,1.031,0.0
2015-12-07,1.032,0.097
2015-12-08,1.032,0.0
2015-12-09,1.032,0.0
2015-12-10,1.032,0.0
2015-12-11,1.032,0.0
2015-12-14,1.033,0.0969
2015-12-15,1.033,0.0
2015-12-16,1.033,0.0
2015-12-17,1.034,0.0968
2015-12-18,1.034,0.0
2015-12-21,1.036,0.1934
2015-12-22,1.036,0.0
2015-12-23,1.036,0.0
2015-12-24,1.037,0.0965
2015-12-25,1.038,0.0964
2015-12-28,1.039,0.0963
2015-12-29,1.04,0.0962
2015-12-30,1.04,0.0
2015-12-31,1.04,0.0
2016-01-04,1.039,-0.0962
2016-01-05,1.039,0.0
2016-01-06,1.04,0.0962
2016-01-07,1.04,0.0
2016-01-08,1.041,0.0962
2016-01-11,1.041,0.0
2016-01-12,1.042,0.0961
2016-01-13,1.042,0.0
2016-01-14,1.042,0.0
2016-01-15,1.041,-0.096
2016-01-18,1.042,0.0961
2016-01-19,1.042,0.0
2016-01-20,1.041,-0.096
2016-01-21,1.04,-0.0961
2016-01-22,1.041,0.0962
2016-01-25,1.041,0.0
2016-01-26,1.039,-0.1921
2016-01-27,1.038,-0.0962
2016-01-28,1.037,-0.0963
2016-01-29,1.039,0.1929
2016-02-01,1.038,-0.0962
2016-02-02,1.039,0.0963
2016-02-03,1.039,0.0
2016-02-04,1.039,0.0
2016-02-05,1.039,0.0
2016-02-15,1.04,0.0962
2016-02-16,1.041,0.0962
2016-02-17,1.041,0.0
2016-02-18,1.041,0.0
2016-02-19,1.042,0.0961
2016-02-22,1.042,0.0
2016-02-23,1.043,0.096
2016-02-24,1.042,-0.0959
2016-02-25,1.041,-0.096
2016-02-26,1.041,0.0
2016-02-29,1.04,-0.0961
2016-03-01,1.041,0.0962
2016-03-02,1.041,0.0
2016-03-03,1.041,0.0
2016-03-04,1.041,0.0
2016-03-07,1.042,0.0961
2016-03-08,1.042,0.0
2016-03-09,1.042,0.0
2016-03-10,1.043,0.096
2016-03-11,1.043,0.0
2016-03-14,1.044,0.0959
2016-03-15,1.045,0.0958
2016-03-16,1.045,0.0
2016-03-17,1.045,0.0
2016-03-18,1.046,0.0957
2016-03-21,1.047,0.0956
2016-03-22,1.046,-0.0955
2016-03-23,1.047,0.0956
2016-03-24,1.047,0.0
2016-03-25,1.047,0.0
2016-03-28,1.048,0.0955
2016-03-29,1.048,0.0
2016-03-30,1.049,0.0954
2016-03-31,1.05,0.0953
2016-04-01,1.05,0.0
2016-04-05,1.051,0.0952
2016-04-06,1.052,0.0951
2016-04-07,1.052,0.0
2016-04-08,1.051,-0.0951
2016-04-11,1.052,0.0951
2016-04-12,1.052,0.0
2016-04-13,1.051,-0.0951
2016-04-14,1.052,0.0951
2016-04-15,1.052,0.0
2016-04-18,1.051,-0.0951
2016-04-19,1.051,0.0
2016-04-20,1.05,-0.0951
2016-04-21,1.049,-0.0952
2016-04-22,1.049,0.0
2016-04-25,1.047,-0.1907
2016-04-26,1.047,0.0
2016-04-27,1.048,0.0955
2016-04-28,1.048,0.0
2016-04-29,1.048,0.0
2016-05-03,1.049,0.0954
2016-05-04,1.05,0.0953
2016-05-05,1.05,0.0
2016-05-06,1.05,0.0
2016-05-09,1.049,-0.0952
2016-05-10,1.05,0.0953
2016-05-11,1.05,0.0
2016-05-12,1.05,0.0
2016-05-13,1.05,0.0
2016-05-16,1.05,0.0
2016-05-17,1.05,0.0
2016-05-18,1.049,-0.0952
2016-05-19,1.05,0.0953
2016-05-20,1.05,0.0
2016-05-23,1.051,0.0952
2016-05-24,1.05,-0.0951
2016-05-25,1.051,0.0952
2016-05-26,1.051,0.0
2016-05-27,1.051,0.0
2016-05-30,1.051,0.0
2016-05-31,1.053,0.1903
2016-06-01,1.053,0.0
2016-06-02,1.053,0.0
2016-06-03,1.054,0.095
2016-06-06,1.054,0.0
2016-06-07,1.055,0.0949
2016-06-08,1.054,-0.0948
2016-06-13,1.053,-0.0949
2016-06-14,1.054,0.095
2016-06-15,1.055,0.0949
2016-06-16,1.055,0.0
2016-06-17,1.056,0.0948
2016-06-20,1.056,0.0
2016-06-21,1.056,0.0
2016-06-22,1.057,0.0947
2016-06-23,1.057,0.0
2016-06-24,1.057,0.0
2016-06-27,1.059,0.1892
2016-06-28,1.059,0.0
2016-06-29,1.06,0.0944
2016-06-30,1.059,-0.0943
2016-07-01,1.06,0.0944
2016-07-04,1.062,0.1887
2016-07-05,1.062,0.0
2016-07-06,1.063,0.0942
2016-07-07,1.063,0.0
2016-07-08,1.064,0.0941
2016-07-11,1.064,0.0
2016-07-12,1.065,0.094
2016-07-13,1.065,0.0
2016-07-14,1.065,0.0
2016-07-15,1.065,0.0
2016-07-18,1.066,0.0939
2016-07-19,1.066,0.0
2016-07-20,1.066,0.0
2016-07-21,1.066,0.0
2016-07-22,1.066,0.0
2016-07-25,1.067,0.0938
2016-07-26,1.067,0.0
2016-07-27,1.066,-0.0937
2016-07-28,1.067,0.0938
2016-07-29,1.067,0.0
2016-08-01,1.066,-0.0937
2016-08-02,1.066,0.0
2016-08-03,1.067,0.0938
2016-08-04,1.067,0.0
2016-08-05,1.068,0.0937
2016-08-08,1.069,0.0936
2016-08-09,1.069,0.0
2016-08-10,1.07,0.0935
2016-08-11,1.07,0.0
2016-08-12,1.07,0.0
2016-08-15,1.072,0.1869
2016-08-16,1.072,0.0
2016-08-17,1.072,0.0
2016-08-18,1.072,0.0
2016-08-19,1.072,0.0
2016-08-22,1.072,0.0
2016-08-23,1.072,0.0
2016-08-24,1.071,-0.0933
2016-08-25,1.071,0.0
2016-08-26,1.072,0.0934
2016-08-29,1.072,0.0
2016-08-30,1.072,0.0
2016-08-31,1.072,0.0
2016-09-01,1.072,0.0
2016-09-02,1.071,-0.0933
2016-09-05,1.072,0.0934
2016-09-06,1.072,0.0
2016-09-07,1.072,0.0
2016-09-08,1.072,0.0
2016-09-09,1.072,0.0
2016-09-12,1.071,-0.0933
2016-09-13,1.071,0.0
2016-09-14,1.071,0.0
2016-09-19,1.072,0.0934
2016-09-20,1.072,0.0
2016-09-21,1.072,0.0
2016-09-22,1.073,0.0933
2016-09-23,1.073,0.0
2016-09-26,1.072,-0.0932
2016-09-27,1.072,0.0
2016-09-28,1.072,0.0
2016-09-29,1.073,0.0933
2016-09-30,1.073,0.0
2016-10-10,1.075,0.1864
2016-10-11,1.076,0.093
2016-10-12,1.076,0.0
2016-10-13,1.076,0.0
2016-10-14,1.077,0.0929
2016-10-17,1.076,-0.0929
2016-10-18,1.077,0.0929
2016-10-19,1.077,0.0
2016-10-20,1.078,0.0929
2016-10-21,1.078,0.0
2016-10-24,1.078,0.0
2016-10-25,1.078,0.0
2016-10-26,1.077,-0.0928
2016-10-27,1.076,-0.0929
2016-10-28,1.076,0.0
2016-10-31,1.076,0.0
2016-11-01,1.077,0.0929
2016-11-02,1.077,0.0
2016-11-03,1.077,0.0
2016-11-04,1.078,0.0929
2016-11-07,1.078,0.0
2016-11-08,1.078,0.0
2016-11-09,1.078,0.0
2016-11-10,1.078,0.0
2016-11-11,1.077,-0.0928
2016-11-14,1.077,0.0
2016-11-15,1.077,0.0
2016-11-16,1.076,-0.0929
2016-11-17,1.075,-0.0929
2016-11-18,1.076,0.093
2016-11-21,1.077,0.0929
2016-11-22,1.077,0.0
2016-11-23,1.077,0.0
2016-11-24,1.077,0.0
2016-11-25,1.077,0.0
2016-11-28,1.077,0.0
2016-11-29,1.076,-0.0929
2016-11-30,1.074,-0.1859
2016-12-01,1.073,-0.0931
2016-12-02,1.072,-0.0932
2016-12-05,1.071,-0.0933
2016-12-06,1.07,-0.0934
2016-12-07,1.07,0.0
2016-12-08,1.07,0.0
2016-12-09,1.07,0.0
2016-12-12,1.066,-0.3738
2016-12-13,1.066,0.0
2016-12-14,1.064,-0.1876
2016-12-15,1.059,-0.4699
2016-12-16,1.059,0.0
2016-12-19,1.058,-0.0944
2016-12-20,1.056,-0.189
2016-12-21,1.057,0.0947
2016-12-22,1.058,0.0946
2016-12-23,1.058,0.0
2016-12-26,1.059,0.0945
2016-12-27,1.06,0.0944
2016-12-28,1.06,0.0
2016-12-29,1.06,0.0
2016-12-30,1.062,0.1887
2016-12-31,1.062,0.0
2017-01-03,1.063,0.0942
2017-01-04,1.063,0.0
2017-01-05,1.063,0.0
2017-01-06,1.062,-0.0941
2017-01-09,1.063,0.0942
2017-01-10,1.064,0.0941
2017-01-11,1.063,-0.094
2017-01-12,1.063,0.0
2017-01-13,1.063,0.0
2017-01-16,1.062,-0.0941
2017-01-17,1.061,-0.0942
2017-01-18,1.061,0.0
2017-01-19,1.06,-0.0943
2017-01-20,1.061,0.0943
2017-01-23,1.062,0.0943
2017-01-24,1.061,-0.0942
2017-01-25,1.061,0.0
2017-01-26,1.061,0.0
2017-02-03,1.06,-0.0943
2017-02-06,1.059,-0.0943
2017-02-07,1.058,-0.0944
2017-02-08,1.057,-0.0945
2017-02-09,1.058,0.0946
2017-02-10,1.058,0.0
2017-02-13,1.059,0.0945
2017-02-14,1.059,0.0
2017-02-15,1.059,0.0
2017-02-16,1.059,0.0
2017-02-17,1.059,0.0
2017-02-20,1.06,0.0944
2017-02-21,1.061,0.0943
2017-02-22,1.062,0.0943
2017-02-23,1.061,-0.0942
2017-02-24,1.062,0.0943
2017-02-27,1.061,-0.0942
2017-02-28,1.058,-0.2828
2017-03-01,1.058,0.0
