净值日期,累计净值
2017-01-25,1.0001
2017-01-26,1.0003
2017-02-03,1.0005
2017-02-06,1.0006
2017-02-07,1.0006
2017-02-08,1.0006
2017-02-09,1.0006
2017-02-10,1.0006
2017-02-13,1.0005
2017-02-14,1.0006
2017-02-15,1.0006
2017-02-16,1.0006
2017-02-17,1.0007
2017-02-20,1.0007
2017-02-21,1.0008
2017-02-22,1.001
2017-02-23,1.001
2017-02-24,1.0011
2017-02-27,1.0011
2017-02-28,1.002
2017-03-01,1.0024
2017-03-02,1.0027
2017-03-03,1.0027
2017-03-06,1.0028
2017-03-07,1.0029
2017-03-08,1.0031
2017-03-09,1.0044
2017-03-10,1.0045
2017-03-13,1.0045
2017-03-14,1.0045
2017-03-15,1.0046
2017-03-16,1.0047
2017-03-17,1.0047
2017-03-20,1.005
2017-03-21,1.005
2017-03-22,1.005
2017-03-23,1.0052
2017-03-24,1.0056
2017-03-27,1.0057
2017-03-28,1.006
2017-03-29,1.0058
2017-03-30,1.0055
2017-03-31,1.006
2017-04-05,1.0057
2017-04-06,1.0059
2017-04-07,1.0062
2017-04-10,1.0062
2017-04-11,1.0062
2017-04-12,1.0061
2017-04-13,1.0062
2017-04-14,1.0061
2017-04-17,1.0053
2017-04-18,1.0051
2017-04-19,1.0053
2017-04-20,1.0051
2017-04-21,1.005
2017-04-24,1.0043
2017-04-25,1.005
2017-04-26,1.0049
2017-04-27,1.0051
2017-04-28,1.0052
2017-05-02,1.0051
2017-05-03,1.0049
2017-05-04,1.0045
2017-05-05,1.0046
2017-05-08,1.0041
2017-05-09,1.0037
2017-05-10,1.0033
2017-05-11,1.0036
2017-05-12,1.0036
2017-05-15,1.0036
2017-05-16,1.0037
2017-05-17,1.0037
2017-05-18,1.0037
2017-05-19,1.0037
2017-05-22,1.0037
2017-05-23,1.0038
2017-05-24,1.0037
2017-05-25,1.0038
2017-05-26,1.0038
2017-05-31,1.0041
2017-06-01,1.0041
2017-06-02,1.0042
2017-06-05,1.0044
2017-06-06,1.0045
2017-06-07,1.0046
2017-06-08,1.0048
2017-06-09,1.0049
2017-06-12,1.0052
2017-06-13,1.0053
2017-06-14,1.0052
2017-06-15,1.0049
2017-06-16,1.0048
2017-06-19,1.0055
2017-06-20,1.0057
2017-06-21,1.0057
2017-06-22,1.0054
2017-06-23,1.0058
2017-06-26,1.0063
2017-06-27,1.0065
2017-06-28,1.0064
2017-06-29,1.0065
2017-06-30,1.0065
2017-07-03,1.0064
2017-07-04,1.0064
2017-07-05,1.007
2017-07-06,1.0074
2017-07-07,1.0072
2017-07-10,1.0072
2017-07-11,1.0073
2017-07-12,1.0074
2017-07-13,1.0077
2017-07-14,1.0077
2017-07-17,1.0079
2017-07-18,1.0077
2017-07-19,1.0079
2017-07-20,1.0082
2017-07-21,1.008
2017-07-24,1.0082
2017-07-25,1.008
2017-07-26,1.0076
2017-07-27,1.0081
2017-07-28,1.008
