净值日期,累计净值
2015-05-29,1.0
2015-06-05,1.0299
2015-06-12,1.0428
2015-06-19,0.8888
2015-06-26,0.8012
2015-06-30,0.7905
2015-07-03,0.7184
2015-07-10,0.7043
2015-07-17,0.7642
2015-07-24,0.7947
2015-07-31,0.7196
2015-08-03,0.7036
2015-08-04,0.7241
2015-08-05,0.7194
2015-08-06,0.7234
2015-08-07,0.7361
2015-08-10,0.7589
2015-08-11,0.758
2015-08-12,0.7404
2015-08-13,0.7506
2015-08-14,0.7453
2015-08-17,0.7459
2015-08-18,0.711
2015-08-19,0.7246
2015-08-20,0.7065
2015-08-21,0.6734
2015-08-24,0.6288
2015-08-25,0.6111
2015-08-26,0.6147
2015-08-27,0.6345
2015-08-28,0.6504
2015-08-31,0.6419
2015-09-01,0.6243
2015-09-02,0.6198
2015-09-07,0.6187
2015-09-08,0.634
2015-09-09,0.6483
2015-09-10,0.6416
2015-09-11,0.646
2015-09-14,0.6203
2015-09-15,0.6062
2015-09-16,0.6282
2015-09-17,0.6242
2015-09-18,0.6278
2015-09-21,0.6401
2015-09-22,0.6385
2015-09-23,0.6364
2015-09-24,0.6406
2015-09-25,0.6306
2015-09-28,0.6404
2015-09-29,0.6397
2015-09-30,0.6395
2015-10-08,0.6534
2015-10-09,0.6556
2015-10-12,0.6672
2015-10-13,0.6713
2015-10-14,0.6698
2015-10-15,0.6812
2015-10-16,0.6886
2015-10-19,0.6916
2015-10-20,0.6985
2015-10-21,0.6711
2015-10-22,0.6843
2015-10-23,0.6931
2015-10-26,0.6998
2015-10-27,0.6984
2015-10-28,0.6904
2015-10-29,0.6919
2015-10-30,0.6943
2015-11-02,0.6886
2015-11-03,0.6927
2015-11-04,0.7117
2015-11-05,0.7097
2015-11-06,0.7249
2015-11-09,0.7296
2015-11-10,0.7362
2015-11-11,0.7442
2015-11-12,0.7397
2015-11-13,0.7245
2015-11-16,0.7363
2015-11-17,0.7248
2015-11-18,0.7134
2015-11-19,0.7331
2015-11-20,0.7392
2015-11-23,0.7316
2015-11-24,0.7367
2015-11-25,0.7437
2015-11-26,0.7318
2015-11-27,0.6965
2015-11-30,0.6974
2015-12-01,0.6926
2015-12-02,0.7006
2015-12-03,0.7156
2015-12-04,0.7065
2015-12-07,0.7119
2015-12-08,0.7087
2015-12-09,0.7105
2015-12-10,0.7091
2015-12-11,0.7037
2015-12-14,0.7182
2015-12-15,0.7217
2015-12-16,0.7207
2015-12-17,0.7331
2015-12-18,0.7366
2015-12-21,0.7407
2015-12-22,0.7417
2015-12-23,0.7377
2015-12-24,0.734
2015-12-25,0.7346
2015-12-28,0.7216
2015-12-29,0.7282
2015-12-30,0.729
2015-12-31,0.7179
2016-01-04,0.6709
2016-01-05,0.6666
2016-01-06,0.6773
2016-01-07,0.6328
2016-01-08,0.6428
2016-01-11,0.6189
2016-01-12,0.6245
2016-01-13,0.6093
2016-01-14,0.6285
2016-01-15,0.6107
2016-01-18,0.6172
2016-01-19,0.632
2016-01-20,0.6293
2016-01-21,0.6035
2016-01-22,0.6089
2016-01-25,0.6135
2016-01-26,0.5795
2016-01-27,0.5755
2016-01-28,0.5555
2016-01-29,0.574
2016-02-01,0.5721
2016-02-02,0.5873
2016-02-03,0.5902
2016-02-04,0.5995
2016-02-05,0.5904
2016-02-15,0.5934
2016-02-16,0.613
2016-02-17,0.6174
2016-02-18,0.6134
2016-02-19,0.6191
2016-02-22,0.6336
2016-02-23,0.6275
2016-02-24,0.6263
2016-02-25,0.5856
2016-02-26,0.5793
2016-02-29,0.5494
2016-03-01,0.5572
2016-03-02,0.5764
2016-03-03,0.5711
2016-03-04,0.5547
2016-03-07,0.5641
2016-03-08,0.5684
2016-03-09,0.5595
2016-03-10,0.549
2016-03-11,0.5465
2016-03-14,0.5663
2016-03-15,0.5645
2016-03-16,0.5614
2016-03-17,0.5831
2016-03-18,0.6065
2016-03-21,0.6269
2016-03-22,0.6206
2016-03-23,0.63
2016-03-24,0.6188
2016-03-25,0.6178
2016-03-28,0.6114
2016-03-29,0.5992
2016-03-30,0.6229
2016-03-31,0.6262
2016-04-01,0.6178
2016-04-05,0.6341
2016-04-06,0.6347
2016-04-07,0.6196
2016-04-08,0.612
2016-04-11,0.6227
2016-04-12,0.6172
2016-04-13,0.6287
2016-04-14,0.6358
2016-04-15,0.6338
2016-04-18,0.6228
2016-04-19,0.6243
