净值日期,单位净值,日增长率
2020-07-10,1.0,0.0
2020-07-17,0.9932,0.0
2020-07-24,0.9885,0.0
2020-07-31,0.9989,0.0
2020-08-07,0.9995,0.0
2020-08-14,0.9957,0.0
2020-08-21,1.0056,0.0
2020-08-28,1.0271,0.0
2020-09-04,1.0151,0.0
2020-09-11,1.002,0.0
2020-09-18,1.0041,0.0
2020-09-25,0.9884,0.0
2020-09-30,0.9944,0.0
2020-10-09,1.0109,1.66
2020-10-12,1.0275,1.64
2020-10-13,1.0299,0.23
2020-10-14,1.0319,0.19
2020-10-15,1.0246,-0.71
2020-10-16,1.024,-0.06
2020-10-19,1.0167,-0.71
2020-10-20,1.0206,0.38
2020-10-21,1.0256,0.49
2020-10-22,1.0226,-0.29
2020-10-23,1.0143,-0.81
2020-10-26,1.0092,-0.5
2020-10-27,1.0169,0.76
2020-10-28,1.03,1.29
2020-10-29,1.0369,0.67
2020-10-30,1.0262,-1.03
2020-11-02,1.0311,0.48
2020-11-03,1.0361,0.48
2020-11-04,1.0477,1.12
2020-11-05,1.0627,1.43
2020-11-06,1.0575,-0.49
2020-11-09,1.0696,1.14
2020-11-10,1.0583,-1.06
2020-11-11,1.0367,-2.04
2020-11-12,1.0511,1.39
2020-11-13,1.0584,0.69
2020-11-16,1.0731,1.39
2020-11-17,1.0562,-1.57
2020-11-18,1.0497,-0.62
2020-11-19,1.05,0.03
2020-11-20,1.0609,1.04
2020-11-23,1.0688,0.74
2020-11-24,1.0611,-0.72
2020-11-25,1.0437,-1.64
2020-11-26,1.0529,0.88
2020-11-27,1.0562,0.31
2020-11-30,1.0408,-1.46
2020-12-01,1.0532,1.19
2020-12-02,1.0419,-1.07
2020-12-03,1.0496,0.74
2020-12-04,1.0606,1.05
2020-12-07,1.0561,-0.42
2020-12-08,1.0601,0.38
2020-12-09,1.0582,-0.18
2020-12-10,1.0588,0.06
2020-12-11,1.0626,0.36
2020-12-14,1.0647,0.2
2020-12-15,1.0629,-0.17
2020-12-16,1.0727,0.92
2020-12-17,1.0901,1.62
2020-12-18,1.0834,-0.61
2020-12-21,1.0852,0.17
2020-12-22,1.0811,-0.38
2020-12-23,1.0911,0.92
2020-12-24,1.0876,-0.32
2020-12-25,1.0924,0.44
2020-12-28,1.0856,-0.62
2020-12-29,1.0965,1.0
2020-12-30,1.1182,1.98
2020-12-31,1.1315,1.19
2021-01-04,1.1372,0.5
2021-01-05,1.1532,1.41
2021-01-06,1.164,0.94
2021-01-07,1.1664,0.21
2021-01-08,1.1642,-0.19
2021-01-11,1.1509,-1.14
2021-01-12,1.1707,1.72
2021-01-13,1.1656,-0.44
2021-01-14,1.1661,0.04
2021-01-15,1.1501,-1.37
2021-01-18,1.1679,1.55
2021-01-19,1.1676,-0.03
2021-01-20,1.1976,2.57
2021-01-21,1.2078,0.85
2021-01-22,1.2178,0.83
2021-01-25,1.263,3.71
2021-01-26,1.2247,-3.03
2021-01-27,1.202,-1.85
2021-01-28,1.1752,-2.23
2021-01-29,1.1777,0.21
2021-02-01,1.2106,2.79
2021-02-02,1.2359,2.09
2021-02-03,1.2429,0.57
2021-02-04,1.2433,0.03
2021-02-05,1.2473,0.32
2021-02-08,1.2607,1.07
2021-02-09,1.2797,1.51
2021-02-10,1.3201,3.16
2021-02-18,1.3012,-1.43
2021-02-19,1.2994,-0.14
2021-02-22,1.2308,-5.28
2021-02-23,1.2238,-0.57
2021-02-24,1.1729,-4.16
2021-02-25,1.1775,0.39
2021-02-26,1.1334,-3.75
2021-03-01,1.1609,2.43
2021-03-02,1.1374,-2.02
2021-03-03,1.1649,2.42
2021-03-04,1.1084,-4.85
2021-03-05,1.0991,-0.84
2021-03-08,1.0364,-5.7
2021-03-09,1.0195,-1.63
2021-03-10,1.0436,2.36
2021-03-11,1.0838,3.85
2021-03-12,1.0779,-0.54
2021-03-15,1.0461,-2.95
2021-03-16,1.0727,2.54
2021-03-17,1.0738,0.1
2021-03-18,1.0921,1.7
2021-03-19,1.0653,-2.45
2021-03-22,1.06,-0.5
2021-03-23,1.0456,-1.36
2021-03-24,1.0335,-1.16
2021-03-25,1.031,-0.24
2021-03-26,1.0646,3.26
2021-03-29,1.0587,-0.55
2021-03-30,1.0747,1.51
2021-03-31,1.0621,-1.17
2021-04-01,1.1004,3.61
2021-04-02,1.1146,1.29
2021-04-06,1.11,-0.41
2021-04-07,1.0842,-2.32
2021-04-08,1.0928,0.79
2021-04-09,1.071,-1.99
2021-04-12,1.0522,-1.76
2021-04-13,1.0472,-0.48
2021-04-14,1.0628,1.49
2021-04-15,1.0534,-0.88
2021-04-16,1.0604,0.66
2021-04-19,1.076,1.47
2021-04-20,1.0841,0.75
2021-04-21,1.0848,0.06
2021-04-22,1.0902,0.5
2021-04-23,1.1138,2.16
2021-04-26,1.1019,-1.07
2021-04-27,1.1097,0.71
2021-04-28,1.1158,0.55
2021-04-29,1.1134,-0.22
2021-04-30,1.0925,-1.88
2021-05-06,1.0701,-2.05
2021-05-07,1.0538,-1.52
2021-05-10,1.039,-1.4
2021-05-11,1.0427,0.36
2021-05-12,1.0606,1.72
2021-05-13,1.0486,-1.13
2021-05-14,1.0652,1.58
2021-05-17,1.0895,2.28
2021-05-18,1.0954,0.54
2021-05-19,1.0931,-0.21
2021-05-20,1.1047,1.06
2021-05-21,1.0955,-0.83
2021-05-24,1.0986,0.28
2021-05-25,1.1364,3.44
