净值日期,单位净值,日增长率
2020-05-07,1.0,0.0
2020-05-08,1.0,0.0
2020-05-15,0.9998,0.0
2020-05-22,0.9991,0.0
2020-05-29,1.0004,0.0
2020-06-05,1.0022,0.0
2020-06-08,1.003,0.0798
2020-06-09,1.0036,0.0598
2020-06-10,1.0044,0.0797
2020-06-11,1.0016,-0.2788
2020-06-12,1.0042,0.2596
2020-06-15,1.0029,-0.1295
2020-06-16,1.0065,0.359
2020-06-17,1.0082,0.1689
2020-06-18,1.0082,0.0
2020-06-19,1.0092,0.0992
2020-06-22,1.0091,-0.0099
2020-06-23,1.0113,0.218
2020-06-24,1.0103,-0.0989
2020-06-29,1.0087,-0.1584
2020-06-30,1.0168,0.803
2020-07-01,1.019,0.2164
2020-07-02,1.0244,0.5299
2020-07-03,1.0313,0.6736
2020-07-06,1.049,1.7163
2020-07-07,1.0551,0.5815
2020-07-08,1.0661,1.0426
2020-07-09,1.0717,0.5253
2020-07-10,1.0622,-0.8864
2020-07-13,1.0801,1.6852
2020-07-14,1.072,-0.7499
2020-07-15,1.0465,-2.3787
2020-07-16,0.9998,-4.4625
2020-07-17,1.0077,0.7902
2020-07-20,1.0543,4.6244
2020-07-21,1.0504,-0.3699
2020-07-22,1.0608,0.9901
2020-07-23,1.0598,-0.0943
2020-07-24,1.0163,-4.1045
2020-07-27,1.0255,0.9052
2020-07-28,1.03,0.4388
2020-07-29,1.0558,2.5049
2020-07-30,1.0525,-0.3126
2020-07-31,1.063,0.9976
2020-08-03,1.1008,3.556
2020-08-04,1.0967,-0.3725
2020-08-05,1.1116,1.3586
2020-08-06,1.1152,0.3239
2020-08-07,1.1022,-1.1657
2020-08-10,1.0977,-0.4083
2020-08-11,1.0808,-1.5396
2020-08-12,1.0756,-0.4811
2020-08-13,1.078,0.2231
2020-08-14,1.0819,0.3618
2020-08-17,1.113,2.8746
2020-08-18,1.1104,-0.2336
2020-08-19,1.1064,-0.3602
2020-08-20,1.0908,-1.41
2020-08-21,1.0987,0.7242
2020-08-24,1.1133,1.33
2020-08-25,1.1123,-0.09
2020-08-26,1.0901,-2.0
2020-08-27,1.086,-0.38
2020-08-28,1.0974,1.05
2020-08-31,1.0998,0.22
2020-09-01,1.1023,0.23
2020-09-02,1.0916,-0.97
2020-09-03,1.0902,-0.13
2020-09-04,1.0827,-0.69
2020-09-07,1.0745,-0.76
2020-09-08,1.0773,0.26
2020-09-09,1.0576,-1.83
2020-09-10,1.0399,-1.67
2020-09-11,1.047,0.68
2020-09-14,1.0472,0.02
2020-09-15,1.0611,1.33
2020-09-16,1.0653,0.4
2020-09-17,1.0665,0.11
2020-09-18,1.0924,2.43
2020-09-21,1.0865,-0.54
2020-09-22,1.0663,-1.86
2020-09-23,1.0693,0.28
2020-09-24,1.0449,-2.28
2020-09-25,1.0332,-1.12
2020-09-28,1.0361,0.28
2020-09-29,1.0431,0.68
2020-09-30,1.036,-0.68
2020-10-09,1.0674,3.03
2020-10-12,1.0794,1.12
2020-10-13,1.0815,0.19
2020-10-14,1.0755,-0.55
2020-10-15,1.069,-0.6
2020-10-16,1.0688,-0.02
2020-10-19,1.0683,-0.05
2020-10-20,1.0723,0.37
2020-10-21,1.0678,-0.42
2020-10-22,1.0549,-1.21
2020-10-23,1.0563,0.13
2020-10-26,1.0568,0.05
2020-10-27,1.0556,-0.11
2020-10-28,1.0657,0.96
2020-10-29,1.0599,-0.54
2020-10-30,1.0343,-2.42
2020-11-02,1.0441,0.95
2020-11-03,1.071,2.58
2020-11-04,1.077,0.56
2020-11-05,1.1003,2.16
2020-11-06,1.0956,-0.43
2020-11-09,1.1279,2.95
2020-11-10,1.1215,-0.57
2020-11-11,1.1011,-1.82
2020-11-12,1.1087,0.69
2020-11-13,1.1105,0.16
2020-11-16,1.1449,3.1
2020-11-17,1.1404,-0.39
2020-11-18,1.1441,0.32
2020-11-19,1.1459,0.16
2020-11-20,1.1763,2.65
2020-11-23,1.1999,2.01
2020-11-24,1.2066,0.56
2020-11-25,1.1832,-1.94
2020-11-26,1.1897,0.55
2020-11-27,1.1999,0.86
2020-11-30,1.1957,-0.35
2020-12-01,1.2025,0.57
2020-12-02,1.1989,-0.3
2020-12-03,1.1784,-1.71
2020-12-04,1.1824,0.34
2020-12-07,1.1745,-0.67
2020-12-08,1.1716,-0.25
2020-12-09,1.1587,-1.1
2020-12-10,1.1499,-0.76
2020-12-11,1.1505,0.05
2020-12-14,1.1538,0.29
2020-12-15,1.1509,-0.25
2020-12-16,1.166,1.31
2020-12-17,1.1797,1.17
2020-12-18,1.1805,0.07
2020-12-21,1.1976,1.45
2020-12-22,1.1602,-3.12
2020-12-23,1.1649,0.41
2020-12-24,1.1643,-0.05
2020-12-25,1.1871,1.96
2020-12-28,1.2094,1.88
2020-12-29,1.1869,-1.86
2020-12-30,1.2093,1.89
2020-12-31,1.2139,0.38
2021-01-04,1.2502,2.99
2021-01-05,1.2413,-0.71
2021-01-06,1.2546,1.07
2021-01-07,1.2446,-0.8
2021-01-08,1.2682,1.9
2021-01-11,1.2515,-1.32
2021-01-12,1.2565,0.4
2021-01-13,1.2477,-0.7
2021-01-14,1.2414,-0.5
2021-01-15,1.2515,0.81
2021-01-18,1.237,-1.16
2021-01-19,1.2374,0.03
2021-01-20,1.2493,0.96
2021-01-21,1.3029,4.29
2021-01-22,1.2822,-1.59
2021-01-25,1.3123,2.35
2021-01-26,1.3179,0.43
2021-01-27,1.3005,-1.32
2021-01-28,1.2662,-2.64
2021-01-29,1.2574,-0.69
2021-02-01,1.3046,3.75
2021-02-02,1.3212,1.27
2021-02-03,1.3408,1.48
2021-02-04,1.3315,-0.69
2021-02-05,1.2981,-2.51
2021-02-08,1.3623,4.95
2021-02-09,1.4086,3.4
2021-02-10,1.4118,0.23
2021-02-18,1.5029,6.45
2021-02-19,1.562,3.93
2021-02-22,1.5706,0.55
2021-02-23,1.5645,-0.39
2021-02-24,1.5453,-1.23
2021-02-25,1.5532,0.51
2021-02-26,1.519,-2.2
2021-03-01,1.5466,1.82
2021-03-02,1.5249,-1.4
2021-03-03,1.5867,4.05
2021-03-04,1.5696,-1.08
2021-03-05,1.5307,-2.48
2021-03-08,1.513,-1.16
2021-03-09,1.4942,-1.24
2021-03-10,1.4974,0.21
2021-03-11,1.5651,4.52
2021-03-12,1.5868,1.39
2021-03-15,1.5975,0.67
2021-03-16,1.5909,-0.41
2021-03-17,1.5921,0.08
2021-03-18,1.5974,0.33
2021-03-19,1.5836,-0.86
2021-03-22,1.6014,1.12
2021-03-23,1.5583,-2.69
2021-03-24,1.5165,-2.68
2021-03-25,1.5437,1.79
2021-03-26,1.5565,0.83
2021-03-29,1.5974,2.63
2021-03-30,1.5951,-0.14
2021-03-31,1.5744,-1.3
2021-04-01,1.6003,1.65
2021-04-02,1.5925,-0.49
2021-04-06,1.5924,-0.01
2021-04-07,1.6103,1.12
2021-04-08,1.6294,1.19
2021-04-09,1.6281,-0.08
2021-04-12,1.6012,-1.65
2021-04-13,1.6034,0.14
2021-04-14,1.6218,1.15
2021-04-15,1.6432,1.32
2021-04-16,1.6687,1.55
2021-04-19,1.677,0.5
2021-04-20,1.676,-0.06
2021-04-21,1.6703,-0.34
2021-04-22,1.6707,0.02
2021-04-23,1.6745,0.23
2021-04-26,1.6957,1.27
2021-04-27,1.6945,-0.07
2021-04-28,1.6951,0.04
2021-04-29,1.7118,0.99
2021-04-30,1.6744,-2.18
2021-05-06,1.7397,3.9
2021-05-07,1.7588,1.1
2021-05-10,1.8026,2.49
2021-05-11,1.7784,-1.34
2021-05-12,1.7807,0.13
2021-05-13,1.7497,-1.74
2021-05-14,1.7499,0.01
2021-05-17,1.7553,0.31
2021-05-18,1.7686,0.76
2021-05-19,1.7589,-0.55
2021-05-20,1.7327,-1.49
2021-05-21,1.7433,0.61
2021-05-24,1.7429,-0.02
2021-05-25,1.7655,1.3
2021-05-26,1.7678,0.13
2021-05-27,1.7754,0.43
2021-05-28,1.7754,0.0
2021-05-31,1.7704,-0.28
2021-06-01,1.7754,0.28
2021-06-02,1.7777,0.13
2021-06-03,1.7842,0.37
2021-06-04,1.7751,-0.51
2021-06-07,1.7767,0.09
2021-06-08,1.7641,-0.71
2021-06-09,1.762,-0.12
2021-06-10,1.764,0.11
2021-06-11,1.7627,-0.07
2021-06-15,1.7468,-0.9
2021-06-16,1.7222,-1.41
2021-06-17,1.7279,0.33
2021-06-18,1.7193,-0.5
2021-06-21,1.7173,-0.12
2021-06-22,1.7134,-0.23
2021-06-23,1.7397,1.53
2021-06-24,1.7405,0.05
2021-06-25,1.7565,0.92
2021-06-28,1.7202,-2.07
2021-06-29,1.6849,-2.05
2021-06-30,1.7014,0.98
2021-07-01,1.7025,0.06
2021-07-02,1.6782,-1.43
2021-07-05,1.7007,1.34
2021-07-06,1.701,0.02
2021-07-07,1.7048,0.22
2021-07-08,1.6605,-2.6
2021-07-09,1.6723,0.71
2021-07-12,1.6539,-1.1
2021-07-13,1.6717,1.08
2021-07-14,1.6562,-0.93
2021-07-15,1.6679,0.71
2021-07-16,1.674,0.37
2021-07-19,1.6884,0.86
2021-07-20,1.6731,-0.91
2021-07-21,1.6678,-0.32
2021-07-22,1.6922,1.46
2021-07-23,1.6663,-1.53
2021-07-26,1.6146,-3.1
2021-07-27,1.5655,-3.04
2021-07-28,1.5573,-0.52
2021-07-29,1.5889,2.03
2021-07-30,1.5863,-0.16
2021-08-02,1.6063,1.26
2021-08-03,1.5685,-2.35
2021-08-04,1.5793,0.69
2021-08-05,1.558,-1.35
2021-08-06,1.5536,-0.28
2021-08-09,1.5666,0.84
2021-08-10,1.591,1.56
2021-08-11,1.6263,2.22
2021-08-12,1.6403,0.86
2021-08-13,1.6391,-0.07
2021-08-16,1.6369,-0.13
2021-08-17,1.6178,-1.17
2021-08-18,1.6267,0.55
2021-08-19,1.5838,-2.64
2021-08-20,1.5592,-1.55
2021-08-23,1.5868,1.77
2021-08-24,1.6012,0.91
2021-08-25,1.6326,1.96
2021-08-26,1.6312,-0.09
2021-08-27,1.6349,0.23
2021-08-30,1.6023,-1.99
2021-08-31,1.6192,1.05
2021-09-01,1.6322,0.8
2021-09-02,1.6468,0.89
2021-09-03,1.6534,0.4
2021-09-06,1.6539,0.03
2021-09-07,1.6716,1.07
2021-09-08,1.687,0.92
2021-09-09,1.7053,1.08
2021-09-10,1.7011,-0.25
2021-09-13,1.6949,-0.36
2021-09-14,1.6593,-2.1
2021-09-15,1.6406,-1.13
2021-09-16,1.6186,-1.34
2021-09-17,1.6411,1.39
2021-09-22,1.6164,-1.51
2021-09-23,1.6285,0.75
2021-09-24,1.6075,-1.29
2021-09-27,1.5884,-1.19
2021-09-28,1.6062,1.12
2021-09-29,1.5857,-1.28
2021-09-30,1.5971,0.72
2021-10-08,1.6357,2.42
2021-10-11,1.6616,1.58
2021-10-12,1.6571,-0.27
2021-10-13,1.6584,0.08
2021-10-14,1.6672,0.53
2021-10-15,1.663,-0.25
2021-10-18,1.6622,-0.05
2021-10-19,1.6613,-0.05
2021-10-20,1.6541,-0.43
2021-10-21,1.66,0.36
2021-10-22,1.6446,-0.93
2021-10-25,1.627,-1.07
2021-10-26,1.6379,0.67
2021-10-27,1.6075,-1.86
2021-10-28,1.5948,-0.79
2021-10-29,1.6132,1.15
2021-11-01,1.6054,-0.48
2021-11-02,1.5847,-1.29
2021-11-03,1.5886,0.25
2021-11-04,1.5947,0.38
2021-11-05,1.5793,-0.97
2021-11-08,1.6118,2.06
2021-11-09,1.6073,-0.28
2021-11-10,1.604,-0.21
2021-11-11,1.6333,1.83
2021-11-12,1.6421,0.54
2021-11-15,1.6304,-0.71
2021-11-16,1.6216,-0.54
2021-11-17,1.6193,-0.14
2021-11-18,1.602,-1.07
2021-11-19,1.6068,0.3
2021-11-22,1.6025,-0.27
2021-11-23,1.6075,0.31
2021-11-24,1.6022,-0.33
2021-11-25,1.6003,-0.12
2021-11-26,1.5776,-1.42
2021-11-29,1.5401,-2.38
2021-11-30,1.5405,0.03
2021-12-01,1.5514,0.71
2021-12-02,1.5428,-0.55
2021-12-03,1.5669,1.56
2021-12-06,1.5423,-1.57
2021-12-07,1.587,2.9
2021-12-08,1.5858,-0.08
2021-12-09,1.5939,0.51
2021-12-10,1.584,-0.62
2021-12-13,1.574,-0.63
2021-12-14,1.5587,-0.97
2021-12-15,1.5554,-0.21
2021-12-16,1.5702,0.95
2021-12-17,1.5589,-0.72
2021-12-20,1.5461,-0.82
2021-12-21,1.5523,0.4
2021-12-22,1.56,0.5
2021-12-23,1.5635,0.22
2021-12-24,1.57,0.42
2021-12-27,1.5745,0.29
2021-12-28,1.5767,0.14
2021-12-29,1.5888,0.77
2021-12-30,1.6001,0.71
2021-12-31,1.6095,0.59
2022-01-04,1.6392,1.85
2022-01-05,1.6386,-0.04
2022-01-06,1.6198,-1.15
2022-01-07,1.6258,0.37
2022-01-10,1.6554,1.82
2022-01-11,1.658,0.16
2022-01-12,1.6683,0.62
2022-01-13,1.6582,-0.61
2022-01-14,1.6556,-0.16
2022-01-17,1.6513,-0.26
2022-01-18,1.6782,1.63
2022-01-19,1.6915,0.79
2022-01-20,1.7108,1.14
2022-01-21,1.7104,-0.02
2022-01-24,1.6941,-0.95
2022-01-25,1.6771,-1.0
2022-01-26,1.6612,-0.95
2022-01-27,1.6434,-1.07
2022-01-28,1.6442,0.05
2022-02-07,1.6707,1.61
2022-02-08,1.6976,1.61
2022-02-09,1.7121,0.85
2022-02-10,1.7378,1.5
2022-02-11,1.7345,-0.19
2022-02-14,1.7103,-1.4
2022-02-15,1.6845,-1.51
2022-02-16,1.7042,1.17
2022-02-17,1.6946,-0.56
2022-02-18,1.7122,1.04
2022-02-21,1.7205,0.48
2022-02-22,1.6915,-1.69
2022-02-23,1.6798,-0.69
2022-02-24,1.6464,-1.99
2022-02-25,1.6494,0.18
2022-02-28,1.633,-0.99
2022-03-01,1.6415,0.52
2022-03-02,1.6464,0.3
2022-03-03,1.6769,1.85
2022-03-04,1.6572,-1.17
2022-03-07,1.5956,-3.72
2022-03-08,1.5483,-2.96
2022-03-09,1.5243,-1.55
2022-03-10,1.5465,1.46
2022-03-11,1.5549,0.54
2022-03-14,1.4858,-4.44
2022-03-15,1.4213,-4.34
2022-03-16,1.5067,6.01
2022-03-17,1.536,1.94
2022-03-18,1.5607,1.61
2022-03-21,1.5483,-0.79
2022-03-22,1.5607,0.8
2022-03-23,1.5601,-0.04
2022-03-24,1.5672,0.46
2022-03-25,1.5522,-0.96
2022-03-28,1.5391,-0.84
2022-03-29,1.5362,-0.19
2022-03-30,1.5683,2.09
2022-03-31,1.5622,-0.39
2022-04-01,1.6016,2.52
2022-04-06,1.624,1.4
2022-04-07,1.6038,-1.24
2022-04-08,1.6145,0.67
2022-04-11,1.567,-2.94
2022-04-12,1.608,2.62
2022-04-13,1.6078,-0.01
2022-04-14,1.6203,0.78
2022-04-15,1.6255,0.32
2022-04-18,1.6286,0.19
2022-04-19,1.6272,-0.09
2022-04-20,1.6192,-0.49
2022-04-21,1.5907,-1.76
2022-04-22,1.6015,0.68
2022-04-25,1.5439,-3.6
2022-04-26,1.5286,-0.99
2022-04-27,1.5485,1.3
2022-04-28,1.5583,0.63
2022-04-29,1.5851,1.72
2022-05-05,1.5806,-0.28
2022-05-06,1.5528,-1.76
2022-05-09,1.5446,-0.53
2022-05-10,1.5493,0.3
2022-05-11,1.5688,1.26
2022-05-12,1.5554,-0.85
2022-05-13,1.5694,0.9
2022-05-16,1.5719,0.16
2022-05-17,1.5863,0.92
2022-05-18,1.5762,-0.64
2022-05-19,1.5657,-0.67
2022-05-20,1.585,1.23
2022-05-23,1.5735,-0.73
2022-05-24,1.5549,-1.18
2022-05-25,1.5794,1.58
2022-05-26,1.5871,0.49
2022-05-27,1.595,0.5
2022-05-30,1.6027,0.48
2022-05-31,1.6048,0.13
2022-06-01,1.6005,-0.27
2022-06-02,1.5902,-0.64
2022-06-06,1.5929,0.17
2022-06-07,1.599,0.38
2022-06-08,1.613,0.88
2022-06-09,1.5998,-0.82
2022-06-10,1.6015,0.11
2022-06-13,1.5729,-1.79
2022-06-14,1.5776,0.3
2022-06-15,1.58,0.15
2022-06-16,1.5694,-0.67
2022-06-17,1.573,0.23
2022-06-20,1.5967,1.51
2022-06-21,1.6051,0.53
2022-06-22,1.6016,-0.22
2022-06-23,1.6104,0.55
2022-06-24,1.6213,0.68
2022-06-27,1.66,2.39
2022-06-28,1.7133,3.21
2022-06-29,1.7065,-0.4
2022-06-30,1.7135,0.41
2022-07-01,1.686,-1.6
2022-07-04,1.662,-1.42
2022-07-05,1.6575,-0.27
2022-07-06,1.6242,-2.01
2022-07-07,1.6331,0.55
2022-07-08,1.6463,0.81
2022-07-11,1.6262,-1.22
2022-07-12,1.6294,0.2
2022-07-13,1.6364,0.43
2022-07-14,1.6511,0.9
2022-07-15,1.6209,-1.83
2022-07-18,1.6446,1.46
2022-07-19,1.6416,-0.18
2022-07-20,1.6547,0.8
2022-07-21,1.636,-1.13
2022-07-22,1.6411,0.31
2022-07-25,1.6345,-0.4
2022-07-26,1.6511,1.02
2022-07-27,1.6541,0.18
2022-07-28,1.6405,-0.82
2022-07-29,1.613,-1.68
2022-08-01,1.6134,0.02
2022-08-02,1.5842,-1.81
