净值日期,单位净值,日增长率
2016-08-22,1.0,0.0
2016-08-26,1.0,0.0
2016-09-02,1.0,0.0
2016-09-08,1.0,0.0
2016-09-09,1.0,0.0
2016-09-12,1.0,0.0
2016-09-13,1.0,0.0
2016-09-14,1.0,0.0
2016-09-19,1.001,0.1
2016-09-20,1.001,0.0
2016-09-21,1.001,0.0
2016-09-22,1.001,0.0
2016-09-23,1.001,0.0
2016-09-26,1.001,0.0
2016-09-27,1.001,0.0
2016-09-28,1.001,0.0
2016-09-29,1.001,0.0
2016-09-30,1.001,0.0
2016-10-10,1.002,0.0999
2016-10-11,1.003,0.0998
2016-10-12,1.002,-0.0997
2016-10-13,1.002,0.0
2016-10-14,1.003,0.0998
2016-10-17,1.002,-0.0997
2016-10-18,1.003,0.0998
2016-10-19,1.003,0.0
2016-10-20,1.003,0.0
2016-10-21,1.004,0.0997
2016-10-24,1.004,0.0
2016-10-25,1.004,0.0
2016-10-26,1.003,-0.0996
2016-10-27,1.003,0.0
2016-10-28,1.003,0.0
2016-10-31,1.002,-0.0997
2016-11-01,1.003,0.0998
2016-11-02,1.001,-0.1994
2016-11-03,1.002,0.0999
2016-11-04,1.001,-0.0998
2016-11-07,1.001,0.0
2016-11-08,1.002,0.0999
2016-11-09,1.001,-0.0998
2016-11-10,1.003,0.1998
2016-11-11,1.004,0.0997
2016-11-14,1.004,0.0
2016-11-15,1.004,0.0
2016-11-16,1.003,-0.0996
2016-11-17,1.003,0.0
2016-11-18,1.002,-0.0997
2016-11-21,1.002,0.0
2016-11-22,1.004,0.1996
2016-11-23,1.003,-0.0996
2016-11-24,1.005,0.1994
2016-11-25,1.006,0.0995
2016-11-28,1.007,0.0994
2016-11-29,1.007,0.0
2016-11-30,1.005,-0.1986
2016-12-01,1.005,0.0
2016-12-02,1.005,0.0
2016-12-05,1.003,-0.199
2016-12-06,1.002,-0.0997
2016-12-07,1.003,0.0998
2016-12-08,1.003,0.0
2016-12-09,1.004,0.0997
2016-12-12,1.001,-0.2988
2016-12-13,1.001,0.0
2016-12-14,1.0,-0.0999
2016-12-15,0.997,-0.3
2016-12-16,0.997,0.0
2016-12-19,0.998,0.1003
2016-12-20,0.996,-0.2004
2016-12-21,0.998,0.2008
2016-12-22,0.999,0.1002
2016-12-23,0.998,-0.1001
2016-12-26,0.999,0.1002
2016-12-27,0.999,0.0
2016-12-28,0.998,-0.1001
2016-12-29,0.999,0.1002
2016-12-30,1.0,0.1001
2016-12-31,1.0,0.0
2017-01-03,1.001,0.1
2017-01-04,1.002,0.0999
2017-01-05,1.003,0.0998
2017-01-06,1.003,0.0
2017-01-09,1.004,0.0997
2017-01-10,1.004,0.0
2017-01-11,1.003,-0.0996
2017-01-12,1.002,-0.0997
2017-01-13,1.003,0.0998
2017-01-16,1.003,0.0
2017-01-17,1.004,0.0997
2017-01-18,1.004,0.0
2017-01-19,1.004,0.0
2017-01-20,1.005,0.0996
2017-01-23,1.005,0.0
2017-01-24,1.007,0.199
2017-01-25,1.007,0.0
2017-01-26,1.008,0.0993
2017-02-03,1.007,-0.0992
2017-02-06,1.007,0.0
2017-02-07,1.007,0.0
2017-02-08,1.008,0.0993
2017-02-09,1.009,0.0992
2017-02-10,1.01,0.0991
2017-02-13,1.011,0.099
2017-02-14,1.01,-0.0989
2017-02-15,1.01,0.0
2017-02-16,1.011,0.099
2017-02-17,1.01,-0.0989
2017-02-20,1.013,0.297
2017-02-21,1.013,0.0
2017-02-22,1.013,0.0
2017-02-23,1.012,-0.0987
2017-02-24,1.012,0.0
2017-02-27,1.01,-0.1976
2017-02-28,1.011,0.099
2017-03-01,1.011,0.0
2017-03-02,1.011,0.0
2017-03-03,1.01,-0.0989
2017-03-06,1.011,0.099
2017-03-07,1.012,0.0989
2017-03-08,1.012,0.0
2017-03-09,1.012,0.0
2017-03-10,1.011,-0.0988
2017-03-13,1.013,0.1978
2017-03-14,1.013,0.0
2017-03-15,1.014,0.0987
2017-03-16,1.015,0.0986
2017-03-17,1.013,-0.197
2017-03-20,1.014,0.0987
2017-03-21,1.015,0.0986
2017-03-22,1.015,0.0
2017-03-23,1.014,-0.0985
2017-03-24,1.016,0.1972
2017-03-27,1.015,-0.0984
2017-03-28,1.014,-0.0985
2017-03-29,1.015,0.0986
2017-03-30,1.014,-0.0985
2017-03-31,1.016,0.1972
2017-04-05,1.019,0.2953
2017-04-06,1.021,0.1963
2017-04-07,1.021,0.0
2017-04-10,1.019,-0.1959
2017-04-11,1.02,0.0981
2017-04-12,1.02,0.0
2017-04-13,1.022,0.1961
2017-04-14,1.019,-0.2935
2017-04-17,1.019,0.0
