净值日期,累计净值
2024-06-25,0.726
2024-06-26,0.726
2024-06-27,0.726
2024-06-28,0.726
2024-06-30,0.726
2024-07-01,0.726
2024-07-02,0.726
2024-07-03,0.726
2024-07-04,0.726
2024-07-05,0.726
2024-07-08,0.725
2024-07-09,0.725
2024-07-10,0.725
2024-07-11,0.725
2024-07-12,0.725
2024-07-15,0.725
2024-07-16,0.725
2024-07-17,0.725
2024-07-18,0.725
2024-07-19,0.726
2024-07-22,0.727
2024-07-23,0.7271
2024-07-24,0.7271
2024-07-25,0.7271
2024-07-26,0.7271
2024-07-29,0.7271
2024-07-30,0.7271
2024-07-31,0.7271
2024-08-01,0.7271
2024-08-02,0.727
2024-08-05,0.727
2024-08-06,0.727
2024-08-07,0.7269
2024-08-08,0.7268
2024-08-09,0.7268
2024-08-12,0.7268
2024-08-13,0.7268
2024-08-14,0.7268
2024-08-15,0.7268
2024-08-16,0.7268
2024-08-19,0.7268
2024-08-20,0.7268
2024-08-21,0.7268
2024-08-22,0.7268
2024-08-23,0.7268
2024-08-26,0.7268
2024-08-27,0.7268
2024-08-28,0.7268
2024-08-29,0.7268
2024-08-30,0.7267
2024-09-02,0.7267
2024-09-03,0.727
2024-09-04,0.7269
2024-09-05,0.727
2024-09-06,0.727
2024-09-09,0.7271
2024-09-10,0.7273
2024-09-11,0.7272
2024-09-12,0.7272
2024-09-13,0.7271
2024-09-18,0.7271
2024-09-19,0.7271
2024-09-20,0.7271
2024-09-23,0.727
2024-09-24,0.727
2024-09-25,0.727
2024-09-26,0.727
2024-09-27,0.727
2024-09-30,0.727
2024-10-08,0.7268
2024-10-09,0.7269
2024-10-10,0.7269
2024-10-11,0.7269
2024-10-14,0.727
2024-10-15,0.727
2024-10-16,0.727
2024-10-17,0.727
2024-10-18,0.7273
2024-10-21,0.7272
2024-10-22,0.7272
2024-10-23,0.7272
2024-10-24,0.7272
2024-10-25,0.7272
2024-10-28,0.7272
2024-10-29,0.7272
2024-10-30,0.7272
2024-10-31,0.7272
2024-11-01,0.7272
2024-11-04,0.7271
2024-11-05,0.7271
2024-11-06,0.7271
2024-11-07,0.7271
2024-11-08,0.7271
2024-11-11,0.7271
2024-11-12,0.7271
2024-11-13,0.7271
2024-11-14,0.7271
2024-11-15,0.7271
2024-11-18,0.727
2024-11-19,0.727
2024-11-20,0.727
2024-11-21,0.727
2024-11-22,0.727
2024-11-25,0.727
2024-11-26,0.7269
2024-11-27,0.7269
2024-11-28,0.7269
2024-11-29,0.7269
2024-12-02,0.7269
2024-12-03,0.7269
2024-12-04,0.7269
2024-12-05,0.7269
2024-12-06,0.7269
2024-12-09,0.7268
2024-12-10,0.7268
2024-12-11,0.7268
2024-12-12,0.7268
2024-12-13,0.7268
2024-12-16,0.7268
2024-12-17,0.7268
2024-12-18,0.7268
2024-12-19,0.7286
2024-12-20,0.7305
2024-12-23,0.7362
2024-12-24,0.738
2024-12-25,0.7399
2024-12-26,0.7499
2024-12-27,0.7598
2024-12-30,0.7835
2024-12-31,0.7908
