净值日期,累计净值
2015-05-07,1.0
2015-05-08,1.004
2015-05-11,1.004
2015-05-12,1.004
2015-05-13,1.015
2015-05-14,1.011
2015-05-15,1.01
2015-05-18,1.009
2015-05-19,1.011
2015-05-20,1.012
2015-05-21,1.012
2015-05-22,1.013
2015-05-25,1.013
2015-05-26,1.013
2015-05-27,1.013
2015-05-28,1.013
2015-05-29,1.013
2015-06-01,1.013
2015-06-02,1.013
2015-06-03,1.013
2015-06-04,1.013
2015-06-05,1.013
2015-06-08,1.013
2015-06-09,1.013
2015-06-10,1.013
2015-06-11,1.013
2015-06-12,1.014
2015-06-15,1.014
2015-06-16,1.014
2015-06-17,1.014
2015-06-18,1.014
2015-06-19,1.014
2015-06-23,1.014
2015-06-24,1.015
2015-06-25,1.015
2015-06-26,1.015
2015-06-29,1.015
2015-06-30,1.015
2015-07-01,1.016
2015-07-02,1.015
2015-07-03,1.015
2015-07-06,1.015
2015-07-07,1.014
2015-07-08,1.012
2015-07-09,1.014
2015-07-10,1.016
2015-07-13,1.018
2015-07-14,1.018
2015-07-15,1.018
2015-07-16,1.018
2015-07-17,1.018
2015-07-20,1.018
2015-07-21,1.018
2015-07-22,1.019
2015-07-23,1.019
2015-07-24,1.019
2015-07-27,1.017
2015-07-28,1.018
2015-07-29,1.018
2015-07-30,1.017
2015-07-31,1.017
2015-08-03,1.018
2015-08-04,1.019
2015-08-05,1.018
2015-08-06,1.018
2015-08-07,1.018
2015-08-10,1.02
2015-08-11,1.02
2015-08-12,1.019
2015-08-13,1.019
2015-08-14,1.019
2015-08-17,1.018
2015-08-18,1.017
2015-08-19,1.017
2015-08-20,1.016
2015-08-21,1.015
2015-08-24,1.015
2015-08-25,1.014
2015-08-26,1.015
2015-08-27,1.015
2015-08-28,1.015
2015-08-31,1.015
2015-09-01,1.015
2015-09-02,1.015
2015-09-07,1.015
2015-09-08,1.015
2015-09-09,1.015
2015-09-10,1.015
2015-09-11,1.015
2015-09-14,1.015
2015-09-15,1.015
2015-09-16,1.015
2015-09-17,1.015
2015-09-18,1.015
2015-09-21,1.016
2015-09-22,1.015
2015-09-23,1.016
2015-09-24,1.015
2015-09-25,1.016
2015-09-28,1.016
2015-09-29,1.016
2015-09-30,1.016
2015-10-08,1.017
2015-10-09,1.017
2015-10-12,1.017
2015-10-13,1.017
2015-10-14,1.017
2015-10-15,1.017
2015-10-16,1.017
2015-10-19,1.018
2015-10-20,1.018
2015-10-21,1.018
2015-10-22,1.018
2015-10-23,1.018
2015-10-26,1.019
2015-10-27,1.019
2015-10-28,1.019
2015-10-29,1.019
2015-10-30,1.019
2015-11-02,1.019
2015-11-03,1.019
2015-11-04,1.019
2015-11-05,1.019
2015-11-06,1.019
2015-11-09,1.018
2015-11-10,1.018
2015-11-11,1.019
2015-11-12,1.019
2015-11-13,1.018
2015-11-16,1.018
2015-11-17,1.018
2015-11-18,1.018
2015-11-19,1.018
2015-11-20,1.018
2015-11-23,1.018
2015-11-24,1.018
2015-11-25,1.019
2015-11-26,1.019
2015-11-27,1.019
2015-11-30,1.019
2015-12-01,1.019
2015-12-02,1.019
2015-12-03,1.019
2015-12-04,1.019
2015-12-07,1.019
2015-12-08,1.02
2015-12-09,1.02
2015-12-10,1.02
2015-12-11,1.02
2015-12-14,1.02
2015-12-15,1.02
2015-12-16,1.02
2015-12-17,1.02
2015-12-18,1.021
2015-12-21,1.021
2015-12-22,1.022
2015-12-23,1.022
2015-12-24,1.023
2015-12-25,1.023
2015-12-28,1.023
2015-12-29,1.024
2015-12-30,1.024
2015-12-31,1.025
2016-01-04,1.024
2016-01-05,1.025
2016-01-06,1.025
2016-01-07,1.026
2016-01-08,1.027
2016-01-11,1.026
2016-01-12,1.026
2016-01-13,1.026
2016-01-14,1.026
2016-01-15,1.025
2016-01-18,1.026
2016-01-19,1.026
2016-01-20,1.025
2016-01-21,1.025
2016-01-22,1.026
2016-01-25,1.025
2016-01-26,1.025
2016-01-27,1.024
2016-01-28,1.024
2016-01-29,1.025
2016-02-01,1.025
2016-02-02,1.025
2016-02-03,1.024
2016-02-04,1.025
2016-02-05,1.025
2016-02-15,1.026
2016-02-16,1.026
2016-02-17,1.026
2016-02-18,1.026
2016-02-19,1.026
2016-02-22,1.026
2016-02-23,1.027
2016-02-24,1.026
2016-02-25,1.025
2016-02-26,1.026
2016-02-29,1.025
2016-03-01,1.026
2016-03-02,1.026
2016-03-03,1.026
2016-03-04,1.026
2016-03-07,1.026
2016-03-08,1.026
2016-03-09,1.026
2016-03-10,1.027
2016-03-11,1.027
2016-03-14,1.027
2016-03-15,1.027
2016-03-16,1.027
2016-03-17,1.028
2016-03-18,1.028
2016-03-21,1.028
2016-03-22,1.028
2016-03-23,1.028
2016-03-24,1.028
2016-03-25,1.027
2016-03-28,1.027
2016-03-29,1.028
2016-03-30,1.028
2016-03-31,1.028
2016-04-01,1.029
2016-04-05,1.029
2016-04-06,1.029
2016-04-07,1.029
2016-04-08,1.029
2016-04-11,1.03
2016-04-12,1.03
2016-04-13,1.029
2016-04-14,1.029
2016-04-15,1.029
2016-04-18,1.029
2016-04-19,1.029
2016-04-20,1.028
2016-04-21,1.028
2016-04-22,1.028
2016-04-25,1.027
2016-04-26,1.028
2016-04-27,1.028
2016-04-28,1.028
2016-04-29,1.028
2016-05-03,1.029
