净值日期,累计净值
2015-12-30,1.0
2015-12-31,1.0
2016-01-08,1.0
2016-01-15,1.0
2016-01-21,1.0
2016-01-22,1.0
2016-01-25,1.0
2016-01-26,1.0
2016-01-27,1.0
2016-01-28,1.0
2016-01-29,1.0
2016-02-01,1.0
2016-02-02,1.001
2016-02-03,1.003
2016-02-04,1.006
2016-02-05,1.005
2016-02-15,1.004
2016-02-16,1.01
2016-02-17,1.014
2016-02-18,1.014
2016-02-19,1.015
2016-02-22,1.021
2016-02-23,1.02
2016-02-24,1.025
2016-02-25,0.998
2016-02-26,0.999
2016-02-29,0.993
2016-03-01,0.995
2016-03-02,0.999
2016-03-03,0.998
2016-03-04,0.995
2016-03-07,1.004
2016-03-08,1.002
2016-03-09,0.986
2016-03-10,0.979
2016-03-11,0.98
2016-03-14,0.986
2016-03-15,0.984
2016-03-16,0.983
2016-03-17,0.99
2016-03-18,0.999
2016-03-21,1.007
2016-03-22,1.006
2016-03-23,1.007
2016-03-24,1.0
2016-03-25,1.0
2016-03-28,0.995
2016-03-29,0.991
2016-03-30,1.0
2016-03-31,1.001
2016-04-01,1.002
2016-04-05,1.01
2016-04-06,1.012
2016-04-07,1.003
2016-04-08,0.998
2016-04-11,1.009
2016-04-12,1.006
2016-04-13,1.013
2016-04-14,1.015
2016-04-15,1.016
2016-04-18,1.011
2016-04-19,1.011
2016-04-20,1.009
2016-04-21,1.008
2016-04-22,1.008
2016-04-25,1.008
2016-04-26,1.011
2016-04-27,1.008
2016-04-28,1.006
2016-04-29,1.007
2016-05-03,1.019
2016-05-04,1.016
2016-05-05,1.019
2016-05-06,1.001
2016-05-09,0.985
2016-05-10,0.981
2016-05-11,0.98
2016-05-12,0.979
2016-05-13,0.98
2016-05-16,0.983
2016-05-17,0.982
2016-05-18,0.978
2016-05-19,0.977
2016-05-20,0.979
2016-05-23,0.98
2016-05-24,0.98
2016-05-25,0.978
2016-05-26,0.978
2016-05-27,0.978
2016-05-30,0.978
2016-05-31,0.98
2016-06-01,0.98
2016-06-02,0.981
2016-06-03,0.981
2016-06-06,0.981
2016-06-07,0.981
2016-06-08,0.981
2016-06-13,0.979
2016-06-14,0.979
2016-06-15,0.98
2016-06-16,0.981
2016-06-17,0.982
2016-06-20,0.982
2016-06-21,0.98
2016-06-22,0.984
2016-06-23,0.983
2016-06-24,0.98
2016-06-27,0.989
2016-06-28,0.992
2016-06-29,0.993
2016-06-30,0.992
2016-07-01,0.993
2016-07-04,1.001
2016-07-05,1.004
2016-07-06,1.005
2016-07-07,1.005
2016-07-08,1.004
2016-07-11,1.004
2016-07-12,1.009
2016-07-13,1.011
2016-07-14,1.011
2016-07-15,1.01
2016-07-18,1.008
2016-07-19,1.009
2016-07-20,1.009
2016-07-21,1.011
2016-07-22,1.009
2016-07-25,1.009
2016-07-26,1.013
2016-07-27,1.003
2016-07-28,1.004
2016-07-29,1.0
2016-08-01,0.995
2016-08-02,1.0
2016-08-03,1.004
2016-08-04,1.004
2016-08-05,1.004
2016-08-08,1.008
2016-08-09,1.01
2016-08-10,1.008
2016-08-11,1.006
2016-08-12,1.01
2016-08-15,1.019
2016-08-16,1.021
2016-08-17,1.023
2016-08-18,1.024
2016-08-19,1.025
2016-08-22,1.02
2016-08-23,1.021
2016-08-24,1.021
2016-08-25,1.018
2016-08-26,1.019
2016-08-29,1.02
2016-08-30,1.02
2016-08-31,1.021
2016-09-01,1.018
2016-09-02,1.017
2016-09-05,1.019
2016-09-06,1.025
2016-09-07,1.025
2016-09-08,1.027
2016-09-09,1.024
2016-09-12,1.009
2016-09-13,1.013
2016-09-14,1.009
2016-09-19,1.015
2016-09-20,1.015
2016-09-21,1.017
2016-09-22,1.02
2016-09-23,1.018
2016-09-26,1.006
2016-09-27,1.009
2016-09-28,1.009
2016-09-29,1.01
2016-09-30,1.013
2016-10-10,1.023
2016-10-11,1.029
2016-10-12,1.029
2016-10-13,1.03
2016-10-14,1.031
2016-10-17,1.025
2016-10-18,1.035
2016-10-19,1.036
2016-10-20,1.037
2016-10-21,1.036
2016-10-24,1.042
2016-10-25,1.044
2016-10-26,1.041
2016-10-27,1.04
2016-10-28,1.034
2016-10-31,1.034
2016-11-01,1.04
2016-11-02,1.035
2016-11-03,1.041
2016-11-04,1.039
2016-11-07,1.042
2016-11-08,1.045
2016-11-09,1.041
2016-11-10,1.052
2016-11-11,1.058
2016-11-14,1.062
2016-11-15,1.064
2016-11-16,1.065
2016-11-17,1.065
